#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"M.A. Müller-v. Ast";"PvdA";"F.W.C. Castricum";"PvdA";"1983.06.06";"http://polidocs.nl/XML/MOT/1996104.xml"
"A.G. Koenders";"PvdA";"L.W.S.A.L.B. v.d. Laan";"D66";"2004.11.01";"http://polidocs.nl/XML/MOT/2049402.xml"
"G.J. Schutte";"GPV";"C.N. v. Dis";"SGP";"1984.11.01";"http://polidocs.nl/XML/MOT/1927827.xml"
"Y.J. v. Hijum";"CDA";"P.H. Hofstra";"VVD";"2006.06.01";"http://polidocs.nl/XML/MOT/5773376.xml"
"Y.J. v. Hijum";"CDA";"A. Slob";"CU";"2006.06.01";"http://polidocs.nl/XML/MOT/5773376.xml"
"Y.J. v. Hijum";"CDA";"C.G. v.d. Staaij";"SGP";"2006.06.01";"http://polidocs.nl/XML/MOT/5773376.xml"
"Y.J. v. Hijum";"CDA";"S.A.M. Dijksma";"PvdA";"2006.06.01";"http://polidocs.nl/XML/MOT/5773376.xml"
"J.P. Balkenende";"CDA";"C.C.M. Vendrik";"GL";"1998.10.15";"http://polidocs.nl/XML/MOT/1824427.xml"
"L.S. Groenman";"D66";"E. t. Veld";"PvdA";"1986.11.24";"http://polidocs.nl/XML/MOT/1905737.xml"
"L.S. Groenman";"D66";"G.H. Terpstra";"CDA";"1986.11.24";"http://polidocs.nl/XML/MOT/1905737.xml"
"L.S. Groenman";"D66";"A.A.M.E. v. Erp";"VVD";"1986.11.24";"http://polidocs.nl/XML/MOT/1905737.xml"
"J.A.W.J. Leerdam";"PvdA";"Jasper J. v. Dijk";"SP";"2007.12.05";"http://polidocs.nl/XML/MOT/6217718.xml"
"J.A.W.J. Leerdam";"PvdA";"B. v.d. Ham";"D66";"2007.12.05";"http://polidocs.nl/XML/MOT/6217718.xml"
"J.A.W.J. Leerdam";"PvdA";"F. Halsema";"GL";"2007.12.05";"http://polidocs.nl/XML/MOT/6217718.xml"
"J.A.W.J. Leerdam";"PvdA";"E.W. Anker";"CU";"2007.12.05";"http://polidocs.nl/XML/MOT/6217718.xml"
"J.A.W.J. Leerdam";"PvdA";"M.C.F. Verdonk";"LVER";"2007.12.05";"http://polidocs.nl/XML/MOT/6217718.xml"
"K. v. Velzen";"SP";"F. Halsema";"GL";"2005.04.27";"http://polidocs.nl/XML/MOT/2059891.xml"
"K. v. Velzen";"SP";"N. Albayrak";"PvdA";"2005.04.27";"http://polidocs.nl/XML/MOT/2059891.xml"
"A. v.d. Hek";"PvdA";"G. Gerritse";"CDA";"1982.02.25";"http://polidocs.nl/XML/MOT/1955851.xml"
"A. v.d. Hek";"PvdA";"M.B. Engwirda";"D66";"1982.02.25";"http://polidocs.nl/XML/MOT/1955851.xml"
"M.J.C. Worrell";"PvdA";"A.M. Lucassen-Stauttener";"VVD";"1985.03.27";"http://polidocs.nl/XML/MOT/1922803.xml"
